Date,Close
2004-10-27,327.72
2004-10-28,330.62
2004-10-29,330.48
2004-11-01,331.16
2004-11-02,334.28
2004-11-03,335.57
2004-11-04,333.56
2004-11-05,336.36
2004-11-08,337
2004-11-09,336.58
2004-11-10,338.43
2004-11-11,342.37
2004-11-12,343.61
2004-11-15,342.48
2004-11-16,339.54
2004-11-17,342.22
2004-11-18,341.68
2004-11-19,339.44
2004-11-22,337.45
2004-11-23,337.15
2004-11-24,337.27
2004-11-25,340.21
2004-11-26,340.2
2004-11-29,339.6
2004-11-30,337.15
2004-12-01,342.75
2004-12-02,344.45
2004-12-03,343.48
2004-12-06,342.23
2004-12-07,343.37
2004-12-08,343.31
2004-12-09,340.13
2004-12-10,341.8
2004-12-13,345.31
2004-12-14,346.17
2004-12-15,344.51
2004-12-16,346.43
2004-12-17,343.49
2004-12-20,343.42
2004-12-21,344
2004-12-22,346.81
2004-12-23,348.33
2004-12-24,348.07
2004-12-27,347.81
2004-12-28,348.41
2004-12-29,347.32
2004-12-30,347.27
2004-12-31,348.08
2005-01-03,351.91
2005-01-04,352.68
2005-01-05,350.16
2005-01-06,353.6
2005-01-07,354.46
2005-01-10,355.13
2005-01-11,352.38
2005-01-12,350.1
2005-01-13,351.09
2005-01-14,352.73
2005-01-17,354.24
2005-01-18,354.22
2005-01-19,353.94
2005-01-20,352.75
2005-01-21,353.55
2005-01-24,353.56
2005-01-25,356.36
2005-01-26,356.51
2005-01-27,358.57
2005-01-28,357.02
2005-01-31,360.42
2005-02-01,364.41
2005-02-02,365.46
2005-02-03,364.83
2005-02-04,367.32
2005-02-07,369.13
2005-02-08,369.1
2005-02-09,368.36
2005-02-10,367.48
2005-02-11,371.05
2005-02-14,371.8
2005-02-15,373.81
2005-02-16,372.52
2005-02-17,373.98
2005-02-18,375.47
2005-02-21,374.99
2005-02-22,373.13
2005-02-23,370.68
2005-02-24,370.29
2005-02-25,374.56
2005-02-28,374.37
2005-03-01,375.71
2005-03-02,376.27
2005-03-03,376.16
2005-03-04,378.65
2005-03-07,379.76
2005-03-08,377.68
2005-03-09,376.32
2005-03-10,372.6
2005-03-11,372.15
2005-03-14,372.16
2005-03-15,373.88
2005-03-16,368.37
2005-03-17,368.36
2005-03-18,369.84
2005-03-21,369.06
2005-03-22,369.67
2005-03-23,369.06
2005-03-24,371.62
2005-03-29,371.47
2005-03-30,368.98
2005-03-31,369.56
2005-04-01,368.2
2005-04-04,366.91
2005-04-05,369.07
2005-04-06,371.17
2005-04-07,372.79
2005-04-08,373.61
2005-04-11,372.33
2005-04-12,370.31
2005-04-13,370.68
2005-04-14,368.9
2005-04-15,364.26
2005-04-18,355.88
2005-04-19,356.65
2005-04-20,353.89
2005-04-21,353.26
2005-04-22,356.18
2005-04-25,357.1
2005-04-26,356.19
2005-04-27,350.53
2005-04-28,346.95
2005-04-29,348.2
2005-05-02,348.37
2005-05-03,349.08
2005-05-04,351.18
2005-05-05,354.78
2005-05-06,356.65
2005-05-09,355.93
2005-05-10,354.04
2005-05-11,352.78
2005-05-12,354.92
2005-05-13,355.51
2005-05-16,354.84
2005-05-17,355.35
2005-05-18,360.99
2005-05-19,363.21
2005-05-20,363.88
2005-05-23,366.07
2005-05-24,365.1
2005-05-25,366.04
2005-05-26,368.26
2005-05-27,366.94
2005-05-30,368.42
2005-05-31,364.68
2005-06-01,371.52
2005-06-02,372.4
2005-06-03,371.52
2005-06-06,368.77
2005-06-07,372.46
2005-06-08,372.8
2005-06-09,373.35
2005-06-10,376.09
2005-06-13,377.45
2005-06-14,377.69
2005-06-15,375.82
2005-06-16,378.95
